letter	number	name	frequency	specialisation
A1	1	Electrical Machinery, apparatus, energy	0.125	2.0799
B2	1	Measurement	0.125	2.5151
C11	1	Environmental Technology	0.125	8.2237
C5	1	Food chemistery	0.125	10.8696
D6	2	Thermal Processes and Apparatus	0.25	12.2549
D8	2	Transport	0.25	4.3478
