letter	number	name	frequency	specialisation
A1	1	Electrical Machinery, apparatus, energy	0.0244	0.406
C10	3	Chemical Engineering	0.0732	2.3922
D1	13	Handling	0.3171	7.4437
D2	4	Machine Tools	0.0976	3.0123
D4	1	Textile and Paper Machines	0.0244	0.9104
D6	7	Thermal Processes and Apparatus	0.1707	8.3676
D7	5	Mechanical Elements	0.122	2.9829
E1	4	Furniture, Games	0.0976	4.0837
E3	3	Civil Engineering	0.0732	1.5378
