letter	number	frequency	name
Paris	932	0.1706	Paris
Munchen	835	0.1528	Munchen
Eindhoven	499	0.0913	Eindhoven
Milano	493	0.0902	Milano
London	246	0.045	London
Bruxelles	207	0.0379	Bruxelles
Frankfurt	207	0.0379	Frankfurt
Stuttgart	191	0.035	Stuttgart
Zurich	187	0.0342	Zurich
Nurnberg	149	0.0273	Nurnberg
Bale	129	0.0236	Bale
Catania	99	0.0181	Catania
Grenoble	89	0.0163	Grenoble
Dresden	88	0.0161	Dresden
Cologne	63	0.0115	Cologne
