letter	number	frequency	name
Paris	4987	0.1436	Paris
Munchen	4156	0.1196	Munchen
Stuttgart	1962	0.0565	Stuttgart
Zurich	1664	0.0479	Zurich
Eindhoven	1289	0.0371	Eindhoven
Frankfurt	1235	0.0355	Frankfurt
Milano	1231	0.0354	Milano
Dortmund	1106	0.0318	Dortmund
Bale	1000	0.0288	Bale
Limoges	898	0.0258	Limoges
Mannheim	811	0.0233	Mannheim
Cologne	715	0.0206	Cologne
Karlsruhe	591	0.017	Karlsruhe
London	576	0.0166	London
Helsinki	533	0.0153	Helsinki
