"","source","target","flow"
"1","Aalborg","Aalborg",1
"2","Aalborg","Bale",1
"3","Aalborg","Berlin",2
"4","Aalborg","Bologna",1
"5","Aalborg","Bruxelles",1
"6","Aalborg","Cologne",2
"7","Aalborg","Exeter",1
"8","Aalborg","Goteborg",1
"9","Aalborg","Hannover",1
"10","Aalborg","Mannheim",4
"11","Aalborg","Milano",1
"12","Aalborg","Paris",2
"13","Aalborg","Parma",1
"14","Aalborg","Zwolle",2
"15","Aarhus","Aarhus",5
"16","Aarhus","Birmingham",2
"17","Aarhus","Bristol",1
"18","Aarhus","Emden",1
"19","Aarhus","Frankfurt",2
"20","Aarhus","Geneve",1
"21","Aarhus","La Rochelle",2
"22","Aarhus","Mannheim",2
"23","Aarhus","Nurnberg",1
"24","Aarhus","Paderborn",1
"25","Aarhus","Paris",1
"26","Aarhus","Salzburg",3
"27","Aberdeen","Aberdeen",3
"28","Aberdeen","Braunschweig",1
"29","Aberdeen","Munchen",1
"30","Aberdeen","Stavanger",1
"31","Agen","Paris",1
"32","Ajaccio","Copenhague",2
"33","Alghero","Torino",1
"34","Alicante","Linz",1
"35","Altenburg","Munster",1
"36","Amiens","Amiens",5
"37","Amiens","Ancona",1
"38","Amiens","Baden-Baden",5
"39","Amiens","Besancon",1
"40","Amiens","Birmingham",3
"41","Amiens","Cologne",2
"42","Amiens","Dusseldorf",1
"43","Amiens","Essen",5
"44","Amiens","Falun",1
"45","Amiens","Frankfurt",8
"46","Amiens","Friedrichshafen",5
"47","Amiens","Linz",1
"48","Amiens","London",2
"49","Amiens","Milano",1
"50","Amiens","Munchen",3
"51","Amiens","Paris",12
"52","Amiens","Pori",3
"53","Amiens","Siegen",1
"54","Amiens","Strasbourg",1
"55","Amiens","Stuttgart",2
"56","Amiens","Torino",1
"57","Amiens","Utrecht",1
"58","Amiens","Valencia",1
"59","Amiens","Venezia",1
"60","Amiens","Wien",1
"61","Amiens","Zurich",1
"62","Amsterdam","Amsterdam",16
"63","Amsterdam","Berne",1
"64","Amsterdam","Birmingham",4
"65","Amsterdam","Bremen",1
"66","Amsterdam","Cologne",3
"67","Amsterdam","Cuneo",1
"68","Amsterdam","Dortmund",1
"69","Amsterdam","Dresden",1
"70","Amsterdam","Dublin",1
"71","Amsterdam","Eindhoven",1
"72","Amsterdam","Esbjerg",1
"73","Amsterdam","Frankfurt",3
"74","Amsterdam","Freiburg",1
"75","Amsterdam","Grenoble",1
"76","Amsterdam","Groningen",3
"77","Amsterdam","Hof",1
"78","Amsterdam","Joensuu",2
"79","Amsterdam","Klagenfurt",1
"80","Amsterdam","La Rochelle",1
"81","Amsterdam","Liverpool",1
"82","Amsterdam","London",8
"83","Amsterdam","Lugano",1
"84","Amsterdam","Malmo",2
"85","Amsterdam","Mannheim",1
"86","Amsterdam","Milano",2
"87","Amsterdam","Munchen",10
"88","Amsterdam","Nurnberg",2
"89","Amsterdam","Pamplona",1
"90","Amsterdam","Paris",5
"91","Amsterdam","Ronneby",1
"92","Amsterdam","Siegen",1
"93","Amsterdam","Stockholm",1
"94","Amsterdam","Strasbourg",1
"95","Amsterdam","Stuttgart",2
"96","Amsterdam","Swindon",2
"97","Amsterdam","Utrecht",2
"98","Amsterdam","Vasteras",1
"99","Ancona","Aarhus",1
"100","Ancona","Amiens",1
"101","Ancona","Ancona",1
"102","Ancona","Bale",1
"103","Ancona","Geneve",3
"104","Ancona","Leicester-Nottingham",1
"105","Ancona","Linz",1
"106","Ancona","London",1
"107","Ancona","Lugano",1
"108","Ancona","Milano",2
"109","Ancona","Paderborn",1
"110","Ancona","Saint-Etienne",1
"111","Ancona","Strasbourg",1
"112","Ancona","Utrecht",1
