letter	number	frequency	name
Paris	2747	0.1041	Paris
Munchen	2497	0.0946	Munchen
Stuttgart	1553	0.0588	Stuttgart
Berne	1473	0.0558	Berne
Zurich	1301	0.0493	Zurich
Frankfurt	1062	0.0402	Frankfurt
Freiburg	949	0.036	Freiburg
Geneve	946	0.0358	Geneve
Bale	843	0.0319	Bale
London	807	0.0306	London
Eindhoven	777	0.0294	Eindhoven
Mannheim	745	0.0282	Mannheim
Hamburg	508	0.0192	Hamburg
Milano	482	0.0183	Milano
Helsinki	456	0.0173	Helsinki
