"","source","target","flow"
"1","Aarhus","London",3
"2","Aarhus","Mannheim",4
"3","Alghero","Cologne",2
"4","Alghero","Frankfurt",1
"5","Alicante","Alicante",2
"6","Amiens","London",2
"7","Amiens","Oxford",1
"8","Amsterdam","Amsterdam",34
"9","Amsterdam","Bale",3
"10","Amsterdam","Charleroi",2
"11","Amsterdam","Cologne",7
"12","Amsterdam","Den Haag",12
"13","Amsterdam","Frankfurt",16
"14","Amsterdam","Geneve",1
"15","Amsterdam","Glasgow",1
"16","Amsterdam","Goteborg",1
"17","Amsterdam","Groningen",1
"18","Amsterdam","London",13
"19","Amsterdam","Maastricht",1
"20","Amsterdam","Madrid",2
"21","Amsterdam","Mannheim",7
"22","Amsterdam","Milano",12
"23","Amsterdam","Monchengladbach",1
"24","Amsterdam","Orleans",1
"25","Amsterdam","Palermo",7
"26","Amsterdam","Paris",13
"27","Amsterdam","Rotterdam",2
"28","Amsterdam","Sion",1
"29","Ancona","Ancona",5
"30","Ancona","Edinburgh",1
"31","Ancona","La Rochelle",1
"32","Ancona","Zurich",2
"33","Annecy","Bale",2
"34","Annecy","Mannheim",1
"35","Anvers","Anvers",111
"36","Anvers","Bale",3
"37","Anvers","Birmingham",1
"38","Anvers","Bremen",1
"39","Anvers","Bruxelles",10
"40","Anvers","Calais",3
"41","Anvers","Charleroi",16
"42","Anvers","Cologne",16
"43","Anvers","Den Haag",7
"44","Anvers","Dublin",1
"45","Anvers","Dusseldorf",1
"46","Anvers","Eindhoven",1
"47","Anvers","Essen",2
"48","Anvers","Frankfurt",4
"49","Anvers","Freiburg",1
"50","Anvers","Helsinki",12
"51","Anvers","Karlsruhe",1
"52","Anvers","Liverpool",3
"53","Anvers","Ljubljana",1
"54","Anvers","London",8
"55","Anvers","Maastricht",2
"56","Anvers","Mannheim",4
"57","Anvers","Paris",4
"58","Anvers","Rotterdam",2
"59","Anvers","Saint-Etienne",1
"60","Anvers","Stuttgart",1
"61","Anvers","Utrecht",1
"62","Anvers","Zurich",1
"63","Athens","Saint-Moritz",1
"64","Augsburg","Augsburg",7
"65","Augsburg","Baden-Baden",1
"66","Augsburg","Bale",6
"67","Augsburg","Cardiff",2
"68","Augsburg","Cologne",1
"69","Augsburg","Den Haag",1
"70","Augsburg","Dusseldorf",1
"71","Augsburg","Frankfurt",8
"72","Augsburg","Hamburg",1
"73","Augsburg","London",1
"74","Augsburg","Mannheim",1
"75","Augsburg","Milano",2
"76","Baden-Baden","Baden-Baden",1
"77","Baden-Baden","Berne",1
"78","Baden-Baden","Essen",1
"79","Baden-Baden","London",1
"80","Baden-Baden","Mannheim",1
"81","Baden-Baden","Paris",1
"82","Bad Kreuznach","Dublin",2
"83","Bad Kreuznach","Geneve",2
"84","Bad Kreuznach","Linz",2
"85","Bad Kreuznach","London",2
"86","Bad Kreuznach","Mannheim",1
"87","Bad Kreuznach","Munchen",2
"88","Bale","Aberdeen",2
"89","Bale","Annecy",2
"90","Bale","Anvers",2
"91","Bale","Bale",738
"92","Bale","Berlin",2
"93","Bale","Bologna",17
"94","Bale","Bratislava",5
"95","Bale","Bremen",1
"96","Bale","Bruxelles",2
"97","Bale","Cologne",34
"98","Bale","Cuxhaven",1
"99","Bale","Den Haag",4
"100","Bale","Dortmund",3
"101","Bale","Dublin",3
"102","Bale","Dusseldorf",9
"103","Bale","Eindhoven",1
"104","Bale","Essen",5
"105","Bale","Frankfurt",68
"106","Bale","Geneve",2
"107","Bale","Glasgow",1
"108","Bale","Groningen",1
"109","Bale","Hamburg",5
"110","Bale","Hannover",1
"111","Bale","Helsinki",8
"112","Bale","Kassel",3
"113","Bale","Kiel",1
"114","Bale","Leeds",2
"115","Bale","Linz",1
"116","Bale","London",33
"117","Bale","Lubeck",2
"118","Bale","Maastricht",1
"119","Bale","Maidstone",1
"120","Bale","Manchester",2
"121","Bale","Mannheim",42
"122","Bale","Milano",72
"123","Bale","Munchen",16
"124","Bale","Munster",10
"125","Bale","Oxford",2
"126","Bale","Palermo",9
"127","Bale","Paris",32
"128","Bale","Roma",1
"129","Bale","Rotterdam",1
"130","Bale","Rouen",1
"131","Bale","Saint-Moritz",1
"132","Bale","Sion",2
"133","Bale","Utrecht",6
"134","Bale","Wien",5
"135","Bale","Zurich",6
"136","Bale","Zwolle",2
"137","Barcelone","Anvers",1
"138","Barcelone","Bale",2
"139","Barcelone","Birmingham",2
"140","Barcelone","Cologne",3
"141","Barcelone","Frankfurt",2
"142","Barcelone","Geneve",1
"143","Barcelone","London",1
"144","Barcelone","Madrid",1
"145","Barcelone","Mannheim",1
"146","Barcelone","Paris",4
"147","Bari","London",2
"148","Beauvais","Paris",2
"149","Berlin","Bale",1
"150","Berlin","Berlin",10
"151","Berlin","Berne",1
"152","Berlin","Bruxelles",1
"153","Berlin","Charleroi",1
"154","Berlin","Cologne",8
"155","Berlin","Dusseldorf",3
"156","Berlin","Erfurt",4
"157","Berlin","Frankfurt",3
"158","Berlin","Geneve",1
"159","Berlin","London",2
"160","Berlin","Mannheim",5
"161","Berlin","Milano",3
"162","Berlin","Munster",2
"163","Berlin","Nurnberg",1
"164","Berlin","Paris",4
"165","Berlin","Roma",2
"166","Berlin","Saint-Gall",1
"167","Berne","Amsterdam",1
"168","Berne","Baden-Baden",1
"169","Berne","Berne",5
"170","Berne","Cologne",2
"171","Berne","Dusseldorf",1
"172","Berne","Essen",1
"173","Berne","Lille",1
"174","Berne","Madeira",1
"175","Berne","Stuttgart",1
"176","Bilbao","San Sebastian",1
"177","Birmingham","Berlin",1
"178","Birmingham","Birmingham",14
"179","Birmingham","Bruxelles",2
"180","Birmingham","Cologne",3
"181","Birmingham","Dusseldorf",1
"182","Birmingham","Frankfurt",8
"183","Birmingham","London",3
"184","Birmingham","Malmo",2
"185","Birmingham","Mannheim",3
"186","Birmingham","Milano",1
"187","Birmingham","Munchen",2
"188","Birmingham","Paris",4
"189","Birmingham","Rotterdam",1
"190","Birmingham","Southampton",1
"191","Birmingham","Zurich",2
"192","Birmingham","Zwolle",1
"193","Blackpool","Blackpool",1
"194","Blackpool","London",15
"195","Bologna","Bale",32
"196","Bologna","Bologna",5
"197","Bologna","Bratislava",1
"198","Bologna","Bremen",1
"199","Bologna","Cologne",1
"200","Bologna","Frankfurt",9
"201","Bologna","Madrid",1
"202","Bologna","Manchester",1
"203","Bologna","Milano",15
"204","Bologna","Munchen",1
"205","Bologna","Palermo",3
"206","Bologna","Paris",3
"207","Bologna","Pescara",2
"208","Bordeaux","Paris",8
"209","Bratislava","Milano",1
"210","Braunschweig","Anvers",2
"211","Braunschweig","Braunschweig",4
"212","Braunschweig","Cologne",3
"213","Braunschweig","Dusseldorf",2
"214","Braunschweig","Essen",1
"215","Braunschweig","London",1
"216","Braunschweig","Munchen",1
"217","Braunschweig","Paris",1
"218","Braunschweig","Rotterdam",1
"219","Bregenz","Mannheim",1
"220","Bremen","Bale",2
"221","Bremen","Bremen",42
"222","Bremen","Cologne",23
"223","Bremen","Dusseldorf",4
"224","Bremen","Frankfurt",20
"225","Bremen","Hamburg",3
"226","Bremen","Hannover",1
"227","Bremen","Leeds",1
"228","Bremen","Linz",1
"229","Bremen","London",1
"230","Bremen","Lyon",1
"231","Bremen","Mannheim",8
"232","Bremen","Memmingen",1
"233","Bremen","Milano",1
"234","Bremen","Munchen",1
"235","Bremen","Paderborn",1
"236","Bremen","Palermo",1
"237","Bremen","Paris",3
"238","Bremen","Saarbrucken",1
"239","Bremen","Stuttgart",1
"240","Bremen","Utrecht",1
"241","Bremen","Zurich",1
"242","Brighton","Den Haag",1
"243","Brindisi","Brindisi",4
"244","Brindisi","Den Haag",3
"245","Brindisi","Frankfurt",2
"246","Brindisi","Madrid",5
"247","Brindisi","Mannheim",3
"248","Brindisi","Milano",11
"249","Brindisi","Paris",2
"250","Brindisi","Zwolle",1
"251","Bristol","Bale",1
"252","Bruxelles","Aarhus",1
"253","Bruxelles","Amsterdam",1
"254","Bruxelles","Anvers",2
"255","Bruxelles","Augsburg",1
"256","Bruxelles","Bale",4
"257","Bruxelles","Bremen",2
"258","Bruxelles","Bruxelles",77
"259","Bruxelles","Calais",1
"260","Bruxelles","Charleroi",7
"261","Bruxelles","Cologne",9
"262","Bruxelles","Copenhague",1
"263","Bruxelles","Den Haag",5
"264","Bruxelles","Dusseldorf",2
"265","Bruxelles","Edinburgh",2
"266","Bruxelles","Essen",1
"267","Bruxelles","Frankfurt",12
"268","Bruxelles","Gand",2
"269","Bruxelles","Graz",3
"270","Bruxelles","Grenoble",1
"271","Bruxelles","Hamburg",1
"272","Bruxelles","Helsinki",2
"273","Bruxelles","Liege",6
"274","Bruxelles","Lille",1
"275","Bruxelles","Liverpool",1
"276","Bruxelles","London",18
"277","Bruxelles","Maastricht",4
"278","Bruxelles","Madrid",1
"279","Bruxelles","Manchester",2
"280","Bruxelles","Mannheim",16
"281","Bruxelles","Milano",6
"282","Bruxelles","Munchen",3
"283","Bruxelles","Munster",3
"284","Bruxelles","Palermo",2
"285","Bruxelles","Paris",9
"286","Bruxelles","Rotterdam",1
"287","Bruxelles","Utrecht",7
"288","Bruxelles","Wien",1
"289","Bruxelles","Zurich",4
"290","Bruxelles","Zwolle",1
"291","Budapest","Beauvais",2
"292","Budapest","Lyon",3
"293","Budapest","Paris",2
"294","Budapest","Siegen",1
"295","Calais","Calais",3
"296","Calais","Frankfurt",1
"297","Calais","Geneve",2
"298","Calais","Groningen",2
"299","Calais","London",2
"300","Calais","Milano",1
"301","Calais","Paris",1
"302","Calais","Rotterdam",1
"303","Camborne-Redruth","Bale",2
"304","Camborne-Redruth","Beauvais",1
"305","Camborne-Redruth","London",4
"306","Camborne-Redruth","Salzburg",1
"307","Cambridge","Cambridge",2
"308","Cambridge","Frankfurt",1
"309","Cardiff","Bale",2
"310","Cardiff","Bruxelles",1
"311","Cardiff","Cardiff",8
"312","Cardiff","Charleroi",3
"313","Cardiff","Cologne",2
"314","Cardiff","Dusseldorf",1
"315","Cardiff","Essen",3
"316","Cardiff","Frankfurt",1
"317","Cardiff","London",3
"318","Cardiff","Munchen",5
"319","Cardiff","Paris",9
"320","Chambery","Chambery",2
"321","Chambery","Goteborg",1
"322","Chambery","Innsbruck",1
"323","Chambery","Paris",3
"324","Charleroi","Amsterdam",4
"325","Charleroi","Anvers",2
"326","Charleroi","Bale",2
"327","Charleroi","Bruxelles",20
"328","Charleroi","Charleroi",135
"329","Charleroi","Cologne",14
"330","Charleroi","Copenhague",1
"331","Charleroi","Den Haag",12
"332","Charleroi","Dortmund",1
"333","Charleroi","Essen",2
"334","Charleroi","Frankfurt",21
"335","Charleroi","Freiburg",1
"336","Charleroi","Friedrichshafen",1
"337","Charleroi","Geneve",3
"338","Charleroi","Helsinki",22
"339","Charleroi","Linz",2
"340","Charleroi","London",7
"341","Charleroi","Maastricht",2
"342","Charleroi","Madrid",1
"343","Charleroi","Mannheim",6
"344","Charleroi","Milano",7
"345","Charleroi","Munchen",3
"346","Charleroi","Paris",23
"347","Charleroi","Wien",1
"348","Clermont-Ferrand","Brindisi",2
"349","Clermont-Ferrand","Clermont-Ferrand",13
"350","Clermont-Ferrand","Den Haag",1
"351","Clermont-Ferrand","Frankfurt",1
"352","Clermont-Ferrand","Geneve",1
"353","Clermont-Ferrand","Hannover",1
"354","Clermont-Ferrand","London",1
"355","Clermont-Ferrand","Mannheim",1
"356","Clermont-Ferrand","Milano",1
"357","Clermont-Ferrand","Munster",2
"358","Clermont-Ferrand","Paris",16
"359","Clermont-Ferrand","Wien",1
"360","Coimbra","Groningen",2
"361","Coimbra","Milano",1
"362","Cologne","Aarhus",2
"363","Cologne","Amsterdam",15
"364","Cologne","Anvers",63
"365","Cologne","Augsburg",1
"366","Cologne","Baden-Baden",1
"367","Cologne","Bale",82
"368","Cologne","Barcelone",5
"369","Cologne","Berlin",5
"370","Cologne","Berne",1
"371","Cologne","Birmingham",6
"372","Cologne","Blackpool",4
"373","Cologne","Bregenz",1
"374","Cologne","Bremen",20
"375","Cologne","Brindisi",1
"376","Cologne","Bruxelles",14
"377","Cologne","Cardiff",2
"378","Cologne","Charleroi",4
"379","Cologne","Clermont-Ferrand",24
"380","Cologne","Cologne",2756
"381","Cologne","Den Haag",36
"382","Cologne","Dortmund",7
"383","Cologne","Dresden",3
"384","Cologne","Dusseldorf",58
"385","Cologne","Eindhoven",9
"386","Cologne","Essen",23
"387","Cologne","Frankfurt",151
"388","Cologne","Freiburg",2
"389","Cologne","Gdansk",1
"390","Cologne","Geneve",12
"391","Cologne","Goteborg",1
"392","Cologne","Graz",10
"393","Cologne","Hamburg",6
"394","Cologne","Hannover",13
"395","Cologne","Helsinki",8
"396","Cologne","Hull",1
"397","Cologne","Karlsruhe",3
"398","Cologne","Le Mans",1
"399","Cologne","Lille",2
"400","Cologne","Linz",3
"401","Cologne","London",123
"402","Cologne","Lubeck",3
"403","Cologne","Lyon",2
"404","Cologne","Maastricht",50
"405","Cologne","Madrid",2
"406","Cologne","Maidstone",4
"407","Cologne","Malmo",5
"408","Cologne","Manchester",11
"409","Cologne","Mannheim",382
"410","Cologne","Memmingen",1
"411","Cologne","Milano",47
"412","Cologne","Munchen",25
"413","Cologne","Munster",57
"414","Cologne","Nurnberg",1
"415","Cologne","Orleans",1
"416","Cologne","Paderborn",3
"417","Cologne","Palermo",10
"418","Cologne","Paris",115
"419","Cologne","Parma",1
"420","Cologne","Roma",6
"421","Cologne","Rotterdam",5
"422","Cologne","Saint-Gall",6
"423","Cologne","Saint-Moritz",5
"424","Cologne","Salzburg",1
"425","Cologne","Siegen",1
"426","Cologne","Stockholm",3
