"","source","target","flow"
"1","Aalborg","Berne",1
"2","Aalborg","Essen",1
"3","Aalborg","Genova",1
"4","Aalborg","Helsinki",4
"5","Aalborg","Milano",2
"6","Aarhus","Aarhus",1
"7","Aarhus","Falun",1
"8","Aarhus","Munchen",1
"9","Aarhus","Vicenza",1
"10","Aarhus","Wien",1
"11","Aberdeen","Avignon",1
"12","Agen","Genova",1
"13","Agen","Swindon",1
"14","Agen","Vilnius",1
"15","Albi","Berlin",1
"16","Albi","Dortmund",2
"17","Alicante","Dijon",1
"18","Alicante","Flensburg",1
"19","Alicante","Geneve",1
"20","Alicante","Madrid",2
"21","Alicante","Rotterdam",1
"22","Amiens","Amiens",3
"23","Amiens","Emden",2
"24","Amiens","Memmingen",1
"25","Amiens","Saarbrucken",2
"26","Amiens","Strasbourg",4
"27","Amsterdam","Amsterdam",4
"28","Amsterdam","Baden-Baden",1
"29","Amsterdam","Bad Kreuznach",1
"30","Amsterdam","Birmingham",1
"31","Amsterdam","Bologna",2
"32","Amsterdam","Den Haag",2
"33","Amsterdam","Exeter",1
"34","Amsterdam","Frankfurt",3
"35","Amsterdam","Friedrichshafen",1
"36","Amsterdam","Groningen",2
"37","Amsterdam","Hamburg",1
"38","Amsterdam","Kassel",1
"39","Amsterdam","Klagenfurt",1
"40","Amsterdam","Linz",1
"41","Amsterdam","London",2
"42","Amsterdam","Malmo",1
"43","Amsterdam","Mannheim",1
"44","Amsterdam","Munster",1
"45","Amsterdam","Newcastle",1
"46","Amsterdam","Oslo",1
"47","Amsterdam","Paris",3
"48","Amsterdam","Pori",1
"49","Amsterdam","Rotterdam",2
"50","Amsterdam","Siegen",2
"51","Amsterdam","Utrecht",1
"52","Amsterdam","Wien",1
"53","Amsterdam","Zwolle",1
"54","Ancona","Ancona",5
"55","Ancona","Avignon",2
"56","Ancona","Bologna",1
"57","Ancona","Essen",2
"58","Ancona","Firenze",1
"59","Ancona","Ingolstadt",1
"60","Ancona","Lyon",1
"61","Ancona","Marseille",1
"62","Ancona","Milano",1
"63","Ancona","Munchen",2
"64","Ancona","Paris",1
"65","Ancona","Saarbrucken",1
"66","Ancona","Stuttgart",1
"67","Angers","Paris",1
"68","Angouleme","Angouleme",1
"69","Angouleme","Eindhoven",1
"70","Annecy","Annecy",1
"71","Annecy","Berne",1
"72","Annecy","Enschede",1
"73","Annecy","Genova",1
"74","Annecy","Kassel",1
"75","Annecy","Lugano",1
"76","Anvers","Anvers",27
"77","Anvers","Bale",3
"78","Anvers","Berlin",1
"79","Anvers","Bremen",1
"80","Anvers","Bruxelles",1
"81","Anvers","Cologne",2
"82","Anvers","Copenhague",1
"83","Anvers","Den Haag",2
"84","Anvers","Eindhoven",2
"85","Anvers","Enschede",1
"86","Anvers","Frankfurt",10
"87","Anvers","Goteborg",1
"88","Anvers","Hamburg",1
"89","Anvers","Kassel",1
"90","Anvers","London",2
"91","Anvers","Mannheim",1
"92","Anvers","Munchen",1
"93","Anvers","Newcastle",1
"94","Anvers","Paris",4
"95","Anvers","Rotterdam",1
"96","Anvers","Rouen",1
"97","Anvers","Stockholm",1
"98","Anvers","Udine",1
"99","Anvers","Zurich",6
"100","Athens","Athens",4
"101","Athens","Berlin",10
"102","Athens","Bremen",1
"103","Athens","Brindisi",3
"104","Athens","Bruxelles",6
"105","Athens","Cologne",1
"106","Athens","Essen",1
"107","Athens","Hannover",1
"108","Athens","Lamezia Terme",6
"109","Athens","Lisboa",8
"110","Athens","Orleans",1
"111","Athens","Paris",3
"112","Athens","Roma",1
"113","Athens","Siegen",1
"114","Augsburg","Augsburg",4
"115","Augsburg","Baden-Baden",2
"116","Augsburg","Bad Kreuznach",1
"117","Augsburg","Berlin",1
"118","Augsburg","Birmingham",2
"119","Augsburg","Braunschweig",1
