letter	number	frequency	name
Frankfurt	2464	0.1202	Frankfurt
Paris	2254	0.1099	Paris
Bale	1773	0.0865	Bale
London	1629	0.0795	London
Cologne	1040	0.0507	Cologne
Milano	674	0.0329	Milano
Wien	613	0.0299	Wien
Barcelone	593	0.0289	Barcelone
Copenhague	543	0.0265	Copenhague
Berlin	530	0.0259	Berlin
Bruxelles	496	0.0242	Bruxelles
Zurich	448	0.0219	Zurich
Mannheim	411	0.02	Mannheim
Siena	396	0.0193	Siena
Munchen	346	0.0169	Munchen
