letter	number	frequency	name
Paris	694	0.1588	Paris
Eindhoven	590	0.135	Eindhoven
Munchen	566	0.1295	Munchen
Milano	257	0.0588	Milano
Stuttgart	253	0.0579	Stuttgart
Helsinki	210	0.0481	Helsinki
London	204	0.0467	London
Nurnberg	102	0.0233	Nurnberg
Freiburg	97	0.0222	Freiburg
Karlsruhe	90	0.0206	Karlsruhe
Hamburg	81	0.0185	Hamburg
Cologne	80	0.0183	Cologne
Friedrichshafen	71	0.0163	Friedrichshafen
Berlin	64	0.0146	Berlin
Berne	63	0.0144	Berne
