letter	number	frequency	name
Stuttgart	2461	0.0646	Stuttgart
Paris	1966	0.0516	Paris
Dusseldorf	1480	0.0388	Dusseldorf
Zurich	1298	0.0341	Zurich
Frankfurt	1288	0.0338	Frankfurt
Munster	1140	0.0299	Munster
Milano	1058	0.0278	Milano
Cologne	1046	0.0274	Cologne
Dortmund	1042	0.0273	Dortmund
Munchen	1026	0.0269	Munchen
Paderborn	671	0.0176	Paderborn
Siegen	638	0.0167	Siegen
Saint-Gall	600	0.0157	Saint-Gall
Wien	583	0.0153	Wien
Nurnberg	559	0.0147	Nurnberg
