letter	number	frequency	name
Zurich	2083	0.0894	Zurich
Paris	1499	0.0643	Paris
Munchen	1497	0.0642	Munchen
Frankfurt	1207	0.0518	Frankfurt
Bale	1095	0.047	Bale
Mannheim	762	0.0327	Mannheim
Freiburg	747	0.032	Freiburg
Stuttgart	658	0.0282	Stuttgart
London	556	0.0239	London
Hamburg	546	0.0234	Hamburg
Stockholm	525	0.0225	Stockholm
Berlin	515	0.0221	Berlin
Berne	490	0.021	Berne
Cologne	465	0.0199	Cologne
Lyon	442	0.019	Lyon
