letter	number	frequency	name
Paris	1803	0.0574	Paris
Frankfurt	1596	0.0508	Frankfurt
Munster	1545	0.0492	Munster
Cologne	1319	0.042	Cologne
Zurich	1099	0.035	Zurich
Munchen	940	0.0299	Munchen
Stuttgart	922	0.0294	Stuttgart
Den Haag	876	0.0279	Den Haag
Milano	825	0.0263	Milano
Paderborn	782	0.0249	Paderborn
Eindhoven	639	0.0204	Eindhoven
Bremen	542	0.0173	Bremen
Rotterdam	530	0.0169	Rotterdam
Mannheim	521	0.0166	Mannheim
Hannover	519	0.0165	Hannover
