letter	number	frequency	name
Paris	1756	0.0921	Paris
Frankfurt	1329	0.0697	Frankfurt
Munchen	1201	0.063	Munchen
Stuttgart	1120	0.0587	Stuttgart
Cologne	825	0.0433	Cologne
Mannheim	712	0.0373	Mannheim
Zurich	666	0.0349	Zurich
London	648	0.034	London
Milano	575	0.0302	Milano
Dusseldorf	498	0.0261	Dusseldorf
Bale	497	0.0261	Bale
Den Haag	397	0.0208	Den Haag
Hamburg	354	0.0186	Hamburg
Helsinki	343	0.018	Helsinki
Saint-Gall	332	0.0174	Saint-Gall
