letter	number	frequency	name
Cologne	4268	0.1583	Cologne
Mannheim	3004	0.1114	Mannheim
Wien	2939	0.109	Wien
Frankfurt	2079	0.0771	Frankfurt
Helsinki	1836	0.0681	Helsinki
Paris	1465	0.0543	Paris
Milano	1331	0.0494	Milano
Bale	1171	0.0434	Bale
London	829	0.0307	London
Munchen	714	0.0265	Munchen
Essen	708	0.0263	Essen
Dusseldorf	568	0.0211	Dusseldorf
Den Haag	565	0.021	Den Haag
Zurich	492	0.0182	Zurich
Munster	428	0.0159	Munster
