letter	number	frequency	name
Paris	8137	0.2136	Paris
Cologne	3957	0.1039	Cologne
London	3297	0.0865	London
Mannheim	3194	0.0838	Mannheim
Frankfurt	3176	0.0834	Frankfurt
Bale	2696	0.0708	Bale
Dusseldorf	2075	0.0545	Dusseldorf
Milano	1161	0.0305	Milano
Hamburg	1040	0.0273	Hamburg
Rotterdam	835	0.0219	Rotterdam
Berlin	643	0.0169	Berlin
Den Haag	536	0.0141	Den Haag
Essen	356	0.0093	Essen
Munchen	346	0.0091	Munchen
Barcelone	316	0.0083	Barcelone
