letter	number	frequency	name
Paris	1655	0.1997	Paris
Munchen	1005	0.1213	Munchen
Helsinki	454	0.0548	Helsinki
Eindhoven	431	0.052	Eindhoven
London	370	0.0446	London
Milano	316	0.0381	Milano
Stuttgart	266	0.0321	Stuttgart
Zurich	258	0.0311	Zurich
Mannheim	191	0.023	Mannheim
Cologne	186	0.0224	Cologne
Frankfurt	183	0.0221	Frankfurt
Freiburg	171	0.0206	Freiburg
Berlin	145	0.0175	Berlin
Stockholm	136	0.0164	Stockholm
Marseille	133	0.016	Marseille
