letter	number	frequency	name
Paris	1947	0.1452	Paris
Frankfurt	1313	0.0979	Frankfurt
Munchen	980	0.0731	Munchen
Cologne	714	0.0533	Cologne
Dusseldorf	673	0.0502	Dusseldorf
Zurich	589	0.0439	Zurich
Essen	480	0.0358	Essen
London	418	0.0312	London
Mannheim	318	0.0237	Mannheim
Bale	292	0.0218	Bale
Milano	291	0.0217	Milano
Stuttgart	264	0.0197	Stuttgart
Linz	237	0.0177	Linz
Bruxelles	188	0.014	Bruxelles
Wien	178	0.0133	Wien
