"","source","target","flow"
"1","Aalborg","Munchen",1
"2","Aarhus","Aarhus",1
"3","Aarhus","Geneve",1
"4","Aarhus","London",2
"5","Aarhus","Lugano",1
"6","Aarhus","Milano",2
"7","Aarhus","Munchen",1
"8","Aarhus","Stuttgart",3
"9","Agen","Berne",2
"10","Agen","Nantes",1
"11","Agen","Parma",1
"12","Albi","Paris",1
"13","Amiens","Dortmund",1
"14","Amiens","Freiburg",1
"15","Amiens","Munchen",1
"16","Amiens","Paris",1
"17","Amiens","Torino",1
"18","Amsterdam","Amsterdam",14
"19","Amsterdam","Bremen",1
"20","Amsterdam","Bruxelles",2
"21","Amsterdam","Dortmund",1
"22","Amsterdam","Dublin",1
"23","Amsterdam","Dusseldorf",1
"24","Amsterdam","Enschede",1
"25","Amsterdam","Freiburg",1
"26","Amsterdam","Geneve",5
"27","Amsterdam","Helsinki",2
"28","Amsterdam","Karlsruhe",1
"29","Amsterdam","Lille",1
"30","Amsterdam","London",3
"31","Amsterdam","Lorient",1
"32","Amsterdam","Malmo",1
"33","Amsterdam","Mannheim",2
"34","Amsterdam","Milano",1
"35","Amsterdam","Monchengladbach",1
"36","Amsterdam","Munchen",5
"37","Amsterdam","Nice",3
"38","Amsterdam","Nurnberg",1
"39","Amsterdam","Oxford",1
"40","Amsterdam","Paderborn",1
"41","Amsterdam","Paris",14
"42","Amsterdam","Rotterdam",2
"43","Amsterdam","Saint-Gall",1
"44","Amsterdam","Sion",1
"45","Amsterdam","Southampton",1
"46","Amsterdam","Strasbourg",2
"47","Amsterdam","Stuttgart",4
"48","Amsterdam","Torino",1
"49","Amsterdam","Wien",1
"50","Amsterdam","Zurich",4
"51","Ancona","Ancona",10
"52","Ancona","Bale",1
"53","Ancona","Bruxelles",2
"54","Ancona","Cologne",2
"55","Ancona","Lyon",1
"56","Ancona","Paris",1
"57","Ancona","Torino",1
"58","Ancona","Zurich",1
"59","Angers","Cork",1
"60","Angers","Paris",2
"61","Angers","Tampere",1
"62","Annecy","Annecy",8
"63","Annecy","Bale",5
"64","Annecy","Barcelone",1
"65","Annecy","Calais",3
"66","Annecy","Copenhague",1
"67","Annecy","Dortmund",1
"68","Annecy","Montbeliard",4
"69","Annecy","Paris",13
"70","Anvers","Anvers",1
"71","Anvers","Den Haag",1
"72","Anvers","Eindhoven",1
"73","Anvers","Freiburg",4
"74","Anvers","Hamburg",1
"75","Anvers","London",1
"76","Anvers","Paris",2
"77","Anvers","Rotterdam",2
"78","Athens","London",1
"79","Athens","Mannheim",1
"80","Athens","Torino",1
"81","Augsburg","Amsterdam",1
"82","Augsburg","Anvers",1
"83","Augsburg","Augsburg",26
"84","Augsburg","Belfast",1
"85","Augsburg","Bournemouth",1
"86","Augsburg","Braunschweig",1
"87","Augsburg","Bremen",1
"88","Augsburg","Bruxelles",1
"89","Augsburg","Cologne",1
"90","Augsburg","Dusseldorf",3
"91","Augsburg","Frankfurt",3
"92","Augsburg","Friedrichshafen",1
"93","Augsburg","Karlsruhe",3
"94","Augsburg","London",1
"95","Augsburg","Lyon",1
"96","Augsburg","Munchen",9
"97","Augsburg","Paris",3
"98","Augsburg","Stuttgart",6
"99","Augsburg","Vasteras",1
"100","Augsburg","Wien",1
"101","Augsburg","Zurich",2
"102","Baden-Baden","Aarhus",1
"103","Baden-Baden","Baden-Baden",3
"104","Baden-Baden","Cologne",2
"105","Baden-Baden","Milano",2
"106","Baden-Baden","Munchen",2
"107","Baden-Baden","Paderborn",1
"108","Baden-Baden","Stuttgart",1
