letter	number	frequency	name
Dusseldorf	3743	0.1377	Dusseldorf
London	2768	0.1018	London
Frankfurt	2548	0.0937	Frankfurt
Mannheim	2245	0.0826	Mannheim
Bale	1978	0.0727	Bale
Rotterdam	1972	0.0725	Rotterdam
Cologne	1793	0.0659	Cologne
Paris	1349	0.0496	Paris
Den Haag	542	0.0199	Den Haag
Essen	511	0.0188	Essen
Hamburg	510	0.0188	Hamburg
Anvers	473	0.0174	Anvers
Munchen	427	0.0157	Munchen
Milano	353	0.013	Milano
Zurich	309	0.0114	Zurich
