letter	number	frequency	name
Munchen	134	0.1521	Munchen
Paris	116	0.1317	Paris
Zurich	50	0.0568	Zurich
Cologne	41	0.0465	Cologne
Frankfurt	40	0.0454	Frankfurt
Helsinki	40	0.0454	Helsinki
London	38	0.0431	London
Mannheim	29	0.0329	Mannheim
Berne	21	0.0238	Berne
Berlin	20	0.0227	Berlin
Stockholm	19	0.0216	Stockholm
Paderborn	17	0.0193	Paderborn
Dublin	14	0.0159	Dublin
Dusseldorf	14	0.0159	Dusseldorf
Eindhoven	14	0.0159	Eindhoven
