letter	number	frequency	name
Paris	1467	0.1422	Paris
Anvers	1198	0.1161	Anvers
Eindhoven	1124	0.109	Eindhoven
Munchen	652	0.0632	Munchen
Stuttgart	600	0.0582	Stuttgart
London	563	0.0546	London
Frankfurt	505	0.049	Frankfurt
Cologne	417	0.0404	Cologne
Amsterdam	250	0.0242	Amsterdam
Bale	229	0.0222	Bale
Zurich	228	0.0221	Zurich
Mannheim	203	0.0197	Mannheim
Erfurt	149	0.0144	Erfurt
Hamburg	147	0.0143	Hamburg
Milano	134	0.013	Milano
