letter	number	frequency	name
Munchen	3082	0.1622	Munchen
Paris	2363	0.1243	Paris
Stuttgart	2351	0.1237	Stuttgart
Bale	1108	0.0583	Bale
Torino	899	0.0473	Torino
London	744	0.0391	London
Cologne	496	0.0261	Cologne
Berlin	471	0.0248	Berlin
Zurich	444	0.0234	Zurich
Milano	434	0.0228	Milano
Frankfurt	364	0.0192	Frankfurt
Birmingham	319	0.0168	Birmingham
Hannover	296	0.0156	Hannover
Mannheim	247	0.013	Mannheim
Nurnberg	197	0.0104	Nurnberg
