letter	number	frequency	name
Paris	5093	0.1285	Paris
Stuttgart	4180	0.1055	Stuttgart
Munchen	3123	0.0788	Munchen
Frankfurt	1531	0.0386	Frankfurt
Torino	1190	0.03	Torino
Cologne	1158	0.0292	Cologne
Hannover	945	0.0238	Hannover
Milano	767	0.0194	Milano
Dortmund	758	0.0191	Dortmund
Dusseldorf	704	0.0178	Dusseldorf
Zurich	685	0.0173	Zurich
Braunschweig	665	0.0168	Braunschweig
Berlin	593	0.015	Berlin
Paderborn	583	0.0147	Paderborn
Ingolstadt	558	0.0141	Ingolstadt
