letter	number	frequency	name
Munchen	1307	0.1375	Munchen
Paris	1045	0.1099	Paris
Stuttgart	550	0.0579	Stuttgart
Zurich	490	0.0515	Zurich
Berlin	393	0.0413	Berlin
London	329	0.0346	London
Frankfurt	263	0.0277	Frankfurt
Cologne	248	0.0261	Cologne
Paderborn	238	0.025	Paderborn
Milano	196	0.0206	Milano
Dusseldorf	172	0.0181	Dusseldorf
Freiburg	159	0.0167	Freiburg
Wien	147	0.0155	Wien
Berne	142	0.0149	Berne
Hamburg	135	0.0142	Hamburg
