letter	number	frequency	name
Paris	27	0.1467	Paris
Milano	26	0.1413	Milano
Bruxelles	24	0.1304	Bruxelles
Berne	20	0.1087	Berne
Stuttgart	15	0.0815	Stuttgart
Munchen	13	0.0707	Munchen
Eindhoven	9	0.0489	Eindhoven
Oslo	8	0.0435	Oslo
Zurich	6	0.0326	Zurich
Berlin	5	0.0272	Berlin
Oxford	4	0.0217	Oxford
Dortmund	3	0.0163	Dortmund
Vitoria-Gasteiz	3	0.0163	Vitoria-Gasteiz
Dresden	2	0.0109	Dresden
Enschede	2	0.0109	Enschede
