"","source","target","flow"
"1","Aalborg","Aalborg",2
"2","Aalborg","Annecy",1
"3","Aalborg","Berne",1
"4","Aalborg","Brighton",1
"5","Aalborg","Bruxelles",1
"6","Aalborg","Erfurt",1
"7","Aalborg","Frankfurt",1
"8","Aalborg","Lyon",1
"9","Aalborg","Milano",1
"10","Aalborg","Paris",2
"11","Aalborg","Sevilla",1
"12","Aalborg","Siegen",1
"13","Aarhus","Aarhus",4
"14","Aarhus","Braunschweig",1
"15","Aarhus","Cologne",1
"16","Aarhus","Copenhague",1
"17","Aarhus","Geneve",1
"18","Aarhus","Linz",2
"19","Aarhus","London",1
"20","Aarhus","Strasbourg",1
"21","Aarhus","Stuttgart",2
"22","Aarhus","Umea",2
"23","Aarhus","Venezia",3
"24","Aarhus","Zurich",2
"25","Agen","Agen",1
"26","Agen","Vicenza",1
"27","Albi","Cologne",1
"28","Albi","Utrecht",1
"29","Alicante","Bale",1
"30","Alicante","Barcelone",1
"31","Altenburg","Dortmund",1
"32","Altenburg","Dusseldorf",1
"33","Altenburg","Groningen",1
"34","Altenburg","Malmo",1
"35","Altenburg","Milano",3
"36","Altenburg","Siegen",1
"37","Altenburg","Stuttgart",1
"38","Amsterdam","Amsterdam",55
"39","Amsterdam","Annecy",1
"40","Amsterdam","Birmingham",2
"41","Amsterdam","Braunschweig",1
"42","Amsterdam","Bruxelles",13
"43","Amsterdam","Courtrai",1
"44","Amsterdam","Den Haag",1
"45","Amsterdam","Dortmund",2
"46","Amsterdam","Dusseldorf",22
"47","Amsterdam","Enschede",5
"48","Amsterdam","Essen",2
"49","Amsterdam","Frankfurt",1
"50","Amsterdam","Freiburg",1
"51","Amsterdam","Geneve",1
"52","Amsterdam","Genova",1
"53","Amsterdam","Groningen",3
"54","Amsterdam","Hof",1
"55","Amsterdam","Innsbruck",1
"56","Amsterdam","Jonkoping",1
"57","Amsterdam","Linz",1
"58","Amsterdam","London",17
"59","Amsterdam","Lubeck",1
"60","Amsterdam","Mannheim",1
"61","Amsterdam","Marseille",1
"62","Amsterdam","Milano",1
"63","Amsterdam","Munchen",4
"64","Amsterdam","Nurnberg",1
"65","Amsterdam","Oulu",1
"66","Amsterdam","Paris",18
"67","Amsterdam","Rotterdam",1
"68","Amsterdam","San Sebastian",1
"69","Amsterdam","Stuttgart",4
"70","Amsterdam","Swindon",1
"71","Amsterdam","Utrecht",1
"72","Amsterdam","Venezia",1
"73","Amsterdam","Vicenza",1
"74","Amsterdam","Wien",13
"75","Amsterdam","Zurich",15
"76","Amsterdam","Zwolle",2
"77","Ancona","Ancona",13
"78","Ancona","Bale",2
"79","Ancona","Barcelone",1
"80","Ancona","Bilbao",1
"81","Ancona","Bologna",7
"82","Ancona","Brest",1
"83","Ancona","Bruxelles",1
"84","Ancona","Dusseldorf",3
"85","Ancona","Eindhoven",1
"86","Ancona","Emden",1
"87","Ancona","Essen",3
"88","Ancona","Frankfurt",1
"89","Ancona","Freiburg",1
"90","Ancona","Gerona",1
"91","Ancona","Groningen",1
"92","Ancona","Karlsruhe",2
"93","Ancona","Lille",1
"94","Ancona","London",4
"95","Ancona","Lyon",2
"96","Ancona","Metz-Nancy",1
"97","Ancona","Milano",9
"98","Ancona","Munchen",11
"99","Ancona","Munster",1
"100","Ancona","Nurnberg",3
"101","Ancona","Orleans",3
"102","Ancona","Paderborn",2
"103","Ancona","Paris",7
"104","Ancona","Parma",5
"105","Ancona","Pescara",1
"106","Ancona","Pisa",2
"107","Ancona","Reims",1
"108","Ancona","Roma",1
"109","Ancona","Ronneby",2
"110","Ancona","Siegen",2
"111","Ancona","Southampton",1
"112","Ancona","Stockholm",1
"113","Ancona","Strasbourg",1
"114","Ancona","Stuttgart",16
"115","Ancona","Torino",3
"116","Ancona","Venezia",7
"117","Ancona","Verona",5
"118","Ancona","Zurich",4
"119","Angers","Amsterdam",1
"120","Angers","Berlin",1
"121","Angers","Bruxelles",2
"122","Angers","Dusseldorf",1
"123","Angers","Helsinki",6
"124","Angers","London",1
"125","Angers","Nurnberg",1
"126","Angers","Paris",1
"127","Angers","Wien",1
"128","Angers","Zurich",1
"129","Angouleme","Angouleme",1
"130","Annecy","Annecy",8
"131","Annecy","Dusseldorf",1
"132","Annecy","Enschede",1
"133","Annecy","Groningen",1
"134","Annecy","Karlsruhe",1
"135","Annecy","Munchen",1
"136","Annecy","Paris",1
"137","Annecy","Zurich",3
"138","Anvers","Amsterdam",2
"139","Anvers","Anvers",2
"140","Anvers","Bad Kreuznach",1
"141","Anvers","Bale",2
"142","Anvers","Cologne",1
"143","Anvers","Den Haag",1
"144","Anvers","Enschede",2
"145","Anvers","Firenze",1
"146","Anvers","Frankfurt",2
"147","Anvers","Madrid",4
"148","Anvers","Milano",1
"149","Anvers","Munchen",1
"150","Anvers","Palermo",4
"151","Anvers","Paris",3
"152","Anvers","Pisa",1
"153","Anvers","Vicenza",1
"154","Anvers","Warszawa",1
"155","Anvers","Zurich",1
"156","Athens","Berne",1
"157","Athens","Bologna",1
"158","Athens","Dusseldorf",1
"159","Athens","Genova",1
"160","Athens","Klagenfurt",2
"161","Athens","Rouen",1
"162","Augsburg","Berlin",1
"163","Augsburg","Berne",2
"164","Augsburg","Cologne",3
"165","Augsburg","Essen",2
"166","Augsburg","Friedrichshafen",1
"167","Augsburg","Groningen",1
"168","Augsburg","Hamburg",1
"169","Augsburg","Hannover",1
"170","Augsburg","Luxembourg",1
"171","Augsburg","Mannheim",1
"172","Augsburg","Munchen",1
"173","Augsburg","Nurnberg",1
"174","Augsburg","Paris",1
"175","Augsburg","Salzburg",1
"176","Augsburg","Stuttgart",2
"177","Augsburg","Venezia",1
"178","Augsburg","Wien",1
"179","Augsburg","Zurich",1
"180","Auxerre","Budapest",1
"181","Auxerre","Enschede",1
"182","Auxerre","London",1
"183","Avignon","Paris",1
"184","Bacau","Stuttgart",1
"185","Badajoz","Munchen",1
"186","Baden-Baden","Baden-Baden",1
"187","Baden-Baden","Frankfurt",1
"188","Baden-Baden","Mannheim",1
"189","Baden-Baden","Milano",2
"190","Baden-Baden","Saint-Gall",1
"191","Baden-Baden","Stockholm",1
"192","Baden-Baden","Stuttgart",1
"193","Baden-Baden","Torino",1
"194","Baden-Baden","Zurich",1
"195","Bad Kreuznach","Bad Kreuznach",5
"196","Bad Kreuznach","Frankfurt",1
"197","Bad Kreuznach","Paris",5
"198","Bad Kreuznach","Vicenza",1
"199","Bad Kreuznach","Zurich",3
"200","Bale","Ancona",1
"201","Bale","Bad Kreuznach",3
"202","Bale","Bale",308
"203","Bale","Berlin",1
"204","Bale","Berne",2
"205","Bale","Birmingham",1
"206","Bale","Bologna",2
"207","Bale","Bolzano",1
"208","Bale","Bremen",1
