letter	number	frequency	name
Geneve	1153	0.1201	Geneve
London	1137	0.1184	London
Rotterdam	1103	0.1149	Rotterdam
Copenhague	501	0.0522	Copenhague
Paris	292	0.0304	Paris
Frankfurt	286	0.0298	Frankfurt
Milano	258	0.0269	Milano
Hannover	201	0.0209	Hannover
Groningen	200	0.0208	Groningen
Amsterdam	193	0.0201	Amsterdam
Utrecht	193	0.0201	Utrecht
Helsinki	168	0.0175	Helsinki
Munchen	162	0.0169	Munchen
Maastricht	139	0.0145	Maastricht
Mannheim	137	0.0143	Mannheim
