letter	number	frequency	name
Milano	964	0.0657	Milano
Munchen	937	0.0639	Munchen
Geneve	670	0.0457	Geneve
Paderborn	647	0.0441	Paderborn
Zurich	573	0.039	Zurich
Frankfurt	528	0.036	Frankfurt
Stuttgart	488	0.0333	Stuttgart
Annecy	456	0.0311	Annecy
Lyon	433	0.0295	Lyon
Venezia	383	0.0261	Venezia
Paris	350	0.0239	Paris
Grenoble	337	0.023	Grenoble
Bale	309	0.0211	Bale
Nurnberg	309	0.0211	Nurnberg
Bruxelles	303	0.0206	Bruxelles
