letter	number	frequency	name
Paris	1783	0.1602	Paris
Eindhoven	1411	0.1268	Eindhoven
Munchen	781	0.0702	Munchen
Nurnberg	581	0.0522	Nurnberg
London	509	0.0457	London
Stuttgart	503	0.0452	Stuttgart
Freiburg	445	0.04	Freiburg
Copenhague	348	0.0313	Copenhague
Hamburg	335	0.0301	Hamburg
Zurich	321	0.0288	Zurich
Helsinki	256	0.023	Helsinki
Cologne	235	0.0211	Cologne
Frankfurt	213	0.0191	Frankfurt
Berlin	185	0.0166	Berlin
Milano	183	0.0164	Milano
