letter	number	frequency	name
Stuttgart	2633	0.125	Stuttgart
Munchen	1570	0.0745	Munchen
Paris	1052	0.05	Paris
Frankfurt	969	0.046	Frankfurt
Dusseldorf	924	0.0439	Dusseldorf
Zurich	792	0.0376	Zurich
Milano	595	0.0283	Milano
Freiburg	462	0.0219	Freiburg
Cologne	429	0.0204	Cologne
Bale	396	0.0188	Bale
Memmingen	389	0.0185	Memmingen
Berne	377	0.0179	Berne
Dresden	345	0.0164	Dresden
Torino	345	0.0164	Torino
Paderborn	321	0.0152	Paderborn
