letter	number	frequency	name
Paris	2421	0.2774	Paris
Helsinki	1191	0.1365	Helsinki
Munchen	1059	0.1214	Munchen
Stockholm	510	0.0584	Stockholm
London	457	0.0524	London
Eindhoven	289	0.0331	Eindhoven
Stuttgart	282	0.0323	Stuttgart
Cologne	173	0.0198	Cologne
Amsterdam	168	0.0193	Amsterdam
Dusseldorf	147	0.0168	Dusseldorf
Zurich	147	0.0168	Zurich
Berlin	127	0.0146	Berlin
Milano	119	0.0136	Milano
Madrid	109	0.0125	Madrid
Den Haag	106	0.0121	Den Haag
