letter	number	frequency	name
Munchen	1683	0.1034	Munchen
Stuttgart	1353	0.0831	Stuttgart
Paris	1196	0.0735	Paris
Bale	683	0.042	Bale
Zurich	666	0.0409	Zurich
Dusseldorf	613	0.0377	Dusseldorf
Frankfurt	510	0.0313	Frankfurt
Bruxelles	463	0.0284	Bruxelles
Milano	373	0.0229	Milano
Cologne	313	0.0192	Cologne
London	305	0.0187	London
Venezia	283	0.0174	Venezia
Essen	269	0.0165	Essen
Siegen	243	0.0149	Siegen
Karlsruhe	242	0.0149	Karlsruhe
