letter	number	frequency	name
Paris	2649	0.2234	Paris
Munchen	1517	0.1279	Munchen
Helsinki	1432	0.1208	Helsinki
Eindhoven	602	0.0508	Eindhoven
Stuttgart	588	0.0496	Stuttgart
London	455	0.0384	London
Stockholm	366	0.0309	Stockholm
Cologne	226	0.0191	Cologne
Amsterdam	219	0.0185	Amsterdam
Frankfurt	215	0.0181	Frankfurt
Zurich	187	0.0158	Zurich
Berlin	186	0.0157	Berlin
Milano	183	0.0154	Milano
Hamburg	172	0.0145	Hamburg
Hannover	147	0.0124	Hannover
