"","source","target","flow"
"1","Aalborg","Amsterdam",1
"2","Aalborg","Bologna",1
"3","Aalborg","Cologne",1
"4","Aalborg","Eindhoven",1
"5","Aalborg","Orleans",1
"6","Aalborg","Paderborn",2
"7","Aalborg","Utrecht",1
"8","Aalborg","Zurich",2
"9","Aarhus","Aalborg",1
"10","Aarhus","Aarhus",6
"11","Aarhus","Amsterdam",1
"12","Aarhus","Ancona",1
"13","Aarhus","Bale",1
"14","Aarhus","Beauvais",1
"15","Aarhus","Berlin",2
"16","Aarhus","Birmingham",1
"17","Aarhus","Bremen",1
"18","Aarhus","Bruxelles",1
"19","Aarhus","Caen",1
"20","Aarhus","Cologne",1
"21","Aarhus","Copenhague",1
"22","Aarhus","Eindhoven",2
"23","Aarhus","Frankfurt",2
"24","Aarhus","Gavle-Sandviken",3
"25","Aarhus","Munchen",3
"26","Aarhus","Munster",3
"27","Aarhus","Nantes",1
"28","Aarhus","Napoli",1
"29","Aarhus","Nevers",1
"30","Aarhus","Paderborn",1
"31","Aarhus","Paris",2
"32","Aarhus","Salzburg",2
"33","Aarhus","Stuttgart",2
"34","Aarhus","Swindon",1
"35","Aarhus","Troyes",1
"36","Aarhus","Turku",2
"37","Aarhus","Zurich",3
"38","Aberdeen","Aberdeen",1
"39","Aberdeen","Kassel",1
"40","Aberdeen","Leeds",1
"41","Aberdeen","Luxembourg",1
"42","Aberdeen","Manchester",1
"43","Aberdeen","Milano",1
"44","Agen","Dijon",1
"45","Ajaccio","Milano",2
"46","Ajaccio","Paris",1
"47","Alghero","Anvers",2
"48","Alghero","Cork",1
"49","Alghero","Munster",2
"50","Alicante","Alicante",1
"51","Alicante","Paderborn",1
"52","Alicante","Paris",2
"53","Alicante","Zurich",1
"54","Alicante","Zwolle",1
"55","Amiens","Amiens",1
"56","Amiens","Birmingham",1
"57","Amiens","Frankfurt",1
"58","Amiens","Geneve",1
"59","Amiens","Stuttgart",1
"60","Amiens","Zurich",1
"61","Amsterdam","Amsterdam",37
"62","Amsterdam","Anvers",4
"63","Amsterdam","Avignon",1
"64","Amsterdam","Bale",2
"65","Amsterdam","Barcelone",1
"66","Amsterdam","Berlin",2
"67","Amsterdam","Birmingham",3
"68","Amsterdam","Bologna",5
"69","Amsterdam","Bolzano",1
"70","Amsterdam","Bruxelles",2
"71","Amsterdam","Clermont-Ferrand",1
"72","Amsterdam","Cologne",2
"73","Amsterdam","Courtrai",4
"74","Amsterdam","Den Haag",7
"75","Amsterdam","Dijon",2
"76","Amsterdam","Dublin",5
"77","Amsterdam","Eindhoven",11
"78","Amsterdam","Enschede",3
"79","Amsterdam","Essen",1
"80","Amsterdam","Forli",1
"81","Amsterdam","Frankfurt",1
"82","Amsterdam","Friedrichshafen",4
"83","Amsterdam","Geneve",3
"84","Amsterdam","Genova",6
"85","Amsterdam","Hamburg",4
"86","Amsterdam","Hannover",7
"87","Amsterdam","Karlsruhe",2
"88","Amsterdam","Kassel",1
"89","Amsterdam","Leeds",2
"90","Amsterdam","Linz",1
"91","Amsterdam","Liverpool",1
"92","Amsterdam","London",4
"93","Amsterdam","Luxembourg",1
"94","Amsterdam","Madrid",2
"95","Amsterdam","Maidstone",1
"96","Amsterdam","Malmo",1
"97","Amsterdam","Mannheim",1
"98","Amsterdam","Marseille",1
"99","Amsterdam","Memmingen",1
"100","Amsterdam","Metz-Nancy",1
"101","Amsterdam","Milano",3
"102","Amsterdam","Munchen",4
"103","Amsterdam","Niort",2
"104","Amsterdam","Paderborn",2
"105","Amsterdam","Palermo",2
"106","Amsterdam","Paris",9
"107","Amsterdam","Parma",1
"108","Amsterdam","Perugia",1
"109","Amsterdam","Roros",1
"110","Amsterdam","Rotterdam",5
"111","Amsterdam","Saint-Gall",1
"112","Amsterdam","Santa Cruz de Tenerife",1
"113","Amsterdam","Stockholm",1
"114","Amsterdam","Strasbourg",3
"115","Amsterdam","Stuttgart",5
"116","Amsterdam","Torino",1
"117","Amsterdam","Trieste",1
"118","Amsterdam","Utrecht",3
