letter	number	frequency	name
Munchen	1473	0.1436	Munchen
Frankfurt	1096	0.1068	Frankfurt
Paris	861	0.0839	Paris
Cologne	485	0.0473	Cologne
Stuttgart	434	0.0423	Stuttgart
Zurich	424	0.0413	Zurich
Bale	293	0.0286	Bale
London	281	0.0274	London
Dusseldorf	256	0.025	Dusseldorf
Mannheim	238	0.0232	Mannheim
Munster	212	0.0207	Munster
Hamburg	191	0.0186	Hamburg
Milano	180	0.0175	Milano
Gavle-Sandviken	168	0.0164	Gavle-Sandviken
Bremen	162	0.0158	Bremen
